country,population,area,gini_index,happy_planet_index,hdi_index,world_happiness_score,sustainable_economic_development_assessment,gdp_billions,gdp_per_capita,gdp_growth_annual_pct,health_expenditure_pct_gdp,health_expenditure_per_person,education_expenditure_pct_gdp,education_expenditure_per_person,school_years,unemployment_pct,government_spending_score,government_expenditure_pct_gdp,political_rights_score,civil_liberties_score,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,overall_economic_freedom_score,women_mps_pct,index,happiest_country,region,employment_rate,population_scaled,area_scaled,gini_index_scaled,happy_planet_index_scaled,hdi_index_scaled,world_happiness_score_scaled,sustainable_economic_development_assessment_scaled,gdp_billions_scaled,gdp_per_capita_scaled,gdp_growth_annual_pct_scaled,health_expenditure_pct_gdp_scaled,health_expenditure_per_person_scaled,education_expenditure_pct_gdp_scaled,education_expenditure_per_person_scaled,school_years_scaled,unemployment_pct_scaled,government_spending_score_scaled,government_expenditure_pct_gdp_scaled,political_rights_score_scaled,civil_liberties_score_scaled,political_stability_scaled,government_effectiveness_scaled,regulatory_quality_scaled,rule_of_law_scaled,control_of_corruption_scaled,judicial_effectiveness_score_scaled,government_integrity_score_scaled,property_rights_score_scaled,overall_economic_freedom_score_scaled,women_mps_pct_scaled,index_scaled,employment_rate_scaled
Finland,6e6,303815,27.2,31.3,0.92,7.788251877,81.3,231.4,42165,0.4,9.44569068,3669,7.15155983,3569.6700358737103,19,9,2.3,57.1,1,1,1.07,1.94,1.82,2.03,2.22,82.7,89.8,89,74.1,42,1,TRUE,Scandinavian Europe,91,0.004113444468499676,0.018531544578494815,NA,NA,0.9436860068259387,1,0.9421965317919075,0.010719352141521756,0.4016700370581804,0.5124378109452736,0.4794239826168888,0.3826809764309764,NA,NA,0.9230769230769231,0.33984375,0,1,0,0,0.869674185463659,0.9321608040201005,0.9184782608695652,1,0.9945504087193462,0.8543307086614174,0.9274292742927428,0.8832298136645962,0.7054108216432865,0.8741573033707865,0,0.66015625
Denmark,6e6,42434,29,32.7,0.929,7.593702316,82,273.9,47985,1.2,10.32620701,5083,NA,NA,19,6.1,10.6,54.6,1,1,0.87,1.8,1.62,1.86,2.19,83.6,84.1,84.8,76.6,37.4,2,TRUE,Scandinavian Europe,93.9,0.004113444468499676,0.002571710597257469,NA,NA,0.9590443686006828,0.9561936865051074,0.952312138728324,0.012715725787510688,0.45798299000493464,0.5522388059701492,0.5414467735066545,0.5314604377104377,NA,NA,0.9230769230769231,0.2265625,0.08829787234042553,0.9457700650759219,0,0,0.8195488721804511,0.8969849246231156,0.8641304347826086,0.9547872340425532,0.9863760217983651,0.8661417322834647,0.8573185731857318,0.8310559006211181,0.7555110220440882,0.7707865168539325,0.007462686567164179,0.7734375000000002
Norway,5e6,304282,26.8,36.8,0.953,7.578744888,85.3,364.4,69250,1.6,9.98,6222,7.68073988,7465.679904935809,18,4.8,29.2,48.6,1,1,1.15,1.98,1.81,2.02,2.24,86,93.6,86.4,74.3,39.6,3,TRUE,Scandinavian Europe,95.2,0.0033917875442014867,0.018560059437911672,NA,NA,1,0.9528257540529479,1,0.016966827316028298,0.6637381350930325,0.572139303482587,0.5170602581699077,0.6513047138047138,NA,NA,0.8461538461538461,0.17578125000000003,0.28617021276595744,0.8156182212581345,0,0,0.8897243107769423,0.9422110552763819,0.9157608695652174,0.9973404255319149,1,0.8976377952755907,0.9741697416974169,0.8509316770186336,0.7094188376753507,0.8202247191011236,0.014925373134328358,0.8242187500000001
Iceland,3e5,100250,28,31.1,0.935,7.476213932,83.7,16.5,49136,4,8.6091496,4116,NA,NA,20,3.8,44.2,43.1,1,1,1.37,1.45,1.43,1.61,1.84,72.6,77.3,86.7,77,47.6,4,TRUE,Scandinavian Europe,96.2,0,0.006101935676583121,NA,NA,0.9692832764505122,0.9297390753764176,0.9768786127167631,6.247475174506544e-4,0.46911979564784084,0.6915422885572139,0.42049876941211056,0.4297138047138047,NA,NA,1,0.13671875,0.4457446808510639,0.6963123644251626,0,0,0.9448621553884712,0.8090452261306532,0.8125,0.8882978723404256,0.891008174386921,0.7217847769028871,0.7736777367773677,0.8546583850931678,0.7635270541082165,1,0.022388059701492536,0.86328125
Netherlands,17e6,33893,30.3,35.3,0.931,7.458965302,80.3,869.4,51049,1.9,10.6902779,5313,5.529310226,2883.9445558801453,18,6.2,39.1,45,1,1,0.92,1.85,2.05,1.83,1.87,74.1,86,87.9,76.2,36,6,TRUE,Europe,93.8,0.01205167063577975,0.0020502000741752704,NA,NA,0.9624573378839592,0.9258552378120789,0.9277456647398844,0.040688443580132086,0.4876295343054252,0.5870646766169154,0.5670916047382581,0.5556607744107744,NA,NA,0.8461538461538461,0.23046875000000003,0.3914893617021277,0.737527114967462,0,0,0.8320802005012531,0.9095477386934674,0.9809782608695652,0.946808510638298,0.8991825613079019,0.7414698162729659,0.8806888068880688,0.8695652173913043,0.74749498997996,0.7393258426966292,0.03731343283582089,0.7695312499999999
Israel,9e6,20330,42.8,28.8,0.903,7.331036091,66.5,300.6,35179,2.6,7.4313808,2819,5.739089966,2154.4517327115427,16,5.6,51.8,40.1,1,3,-0.88,1.39,1.27,1.02,0.83,83.1,61.2,78.2,72.2,27.5,7,TRUE,Israel,94.4,0.006278415241394241,0.0012220479579636019,NA,NA,0.9146757679180888,0.8970496877331442,0.7283236994219654,0.013969918172167266,0.334075141991853,0.6218905472636815,0.33753777765073073,0.2932449494949495,NA,NA,0.6923076923076923,0.20703125,0.526595744680851,0.631236442516269,0,0.3333333333333333,0.38095238095238093,0.7939698492462312,0.7690217391304348,0.7313829787234043,0.6158038147138964,0.8595800524934385,0.5756457564575647,0.7490683229813665,0.6673346693386775,0.548314606741573,0.04477611940298507,0.7929687500000002
New Zealand,47e5,264537,36.2,31.3,0.917,7.32718277,78.6,177,37294,3.4,9.34035114,3530,6.355259895,2831.942817038217,19,5.2,49.5,41,1,1,1.59,1.77,2.09,1.92,2.24,88.4,95.7,95.1,84.2,34.2,8,TRUE,New Zealand,94.8,0.00317529046691203,0.01613324340467177,NA,NA,0.938566552901024,0.8961820435870727,0.9031791907514451,0.00816399387465592,0.3545393852018848,0.6616915422885572,0.47200395866134875,0.3680555555555556,NA,NA,0.9230769230769231,0.19140625000000003,0.5021276595744681,0.6507592190889371,0,0,1,0.8894472361809045,0.9918478260869564,0.9707446808510639,1,0.9291338582677168,1,0.9590062111801241,0.9078156312625252,0.698876404494382,0.05223880597014925,0.8085937499999999
Austria,9e6,82445,30.5,30.5,0.908,7.293727875,80.3,417.2,48005,0.9,10.31988167,5138,5.448979855,2817.3673823401173,16,6.1,19.4,51.8,1,1,1.04,1.46,1.44,1.81,1.53,80.9,73.5,83.5,71.8,30.6,9,TRUE,Europe,93.9,0.006278415241394241,0.005014768499030311,NA,NA,0.9232081911262799,0.8886490755825408,0.9277456647398844,0.019447027986809844,0.45817650530715714,0.5373134328358209,0.5410012221559752,0.5372474747474747,NA,NA,0.6923076923076923,0.2265625,0.18191489361702126,0.8850325379609544,0,0,0.8621553884711779,0.8115577889447236,0.8152173913043478,0.9414893617021277,0.8065395095367848,0.830708661417323,0.7269372693726938,0.8149068322981365,0.6593186372745491,0.6179775280898876,0.05970149253731343,0.7734375000000002
Sweden,1e7,410335,24.9,28,0.933,7.286804676,81.9,496,59561,0.9,11.01207026,5299,7.681250095,4545.781315406601,18,4.6,65.4,34,1,1,0.98,1.84,1.8,1.94,2.14,82.1,82.8,84.2,81.7,43.6,10,TRUE,Scandinavian Europe,95.4,0.00700007216569243,0.025035619150408618,NA,NA,0.9658703071672357,0.8870901934950015,0.9508670520231217,0.023148539593961088,0.5699896469313311,0.5373134328358209,0.58975837373981,0.5541877104377104,NA,NA,0.8461538461538461,0.16796875,0.6712765957446809,0.4989154013015184,0,0,0.8471177944862155,0.9070351758793971,0.9130434782608696,0.976063829787234,0.9727520435967303,0.846456692913386,0.8413284132841328,0.8236024844720499,0.8577154308617235,0.9101123595505618,0.06716417910447761,0.8320312500000002
Australia,25e6,7682300,30.3,21.2,0.939,7.25703764,78.9,1187.3,48899,2.5,9.44533327,4492,5.192669868,3236.4742114028095,20,5.7,61.2,36,1,1,0.9,1.54,1.93,1.68,1.8,93.4,77.4,78.7,80.9,28.7,11,FALSE,NA,94.3,0.01782492603016526,0.4690593015044,NA,NA,0.9761092150170648,0.880387612907684,0.9075144508670522,0.05562131845212931,0.466826639316504,0.6169154228855721,0.47939880697285286,0.4692760942760943,NA,NA,1,0.21093750000000003,0.6265957446808511,0.5422993492407809,0,0,0.8270676691729323,0.8316582914572864,0.9483695652173914,0.9069148936170214,0.8801089918256131,0.9947506561679793,0.7749077490774909,0.7552795031055901,0.8416833667334671,0.5752808988764044,0.07462686567164178,0.7890624999999999
Costa Rica,49e5,51060,48.5,44.7,0.794,7.22518158,58.9,80.7,16436,3.7,8.14558457,1286,6.858910084,729.1705870492619,15,9,88.9,19.3,1,1,0.51,0.25,0.45,0.45,0.47,57.8,51.8,54.8,65.6,35.1,12,FALSE,NA,91,0.0033196218517716676,0.0030984111911114727,NA,NA,0.7286689419795223,0.87321465120117,0.6184971098265897,0.0036404460603327604,0.15272227651401535,0.6766169154228856,0.38784565902686874,0.13194444444444445,NA,NA,0.6153846153846154,0.33984375,0.9212765957446809,0.18004338394793928,0,0,0.7293233082706767,0.507537688442211,0.5461956521739131,0.5797872340425533,0.5177111716621253,0.5275590551181103,0.46002460024600245,0.4583850931677018,0.5350701402805611,0.7191011235955056,0.08208955223880597,0.66015625
United Kingdom,66e6,241930,32.4,31.9,0.922,7.103273392,74.6,2785.6,42481,2.2,9.87677211,4145,5.693419933,2663.581316262878,18,4.8,44.4,43,1,1,0.26,1.41,1.71,1.68,1.84,93.8,79,92.2,78,32,13,FALSE,NA,95.2,0.04741285992639099,0.014752867758340046,NA,NA,0.9470989761092151,0.8457648421464876,0.8453757225433527,0.130699059590579,0.40472757883329624,0.6019900497512438,0.5097889769712254,0.4327651515151515,NA,NA,0.8461538461538461,0.17578125000000003,0.4478723404255319,0.6941431670281996,0,0,0.6666666666666666,0.7989949748743718,0.8885869565217391,0.9069148936170214,0.891008174386921,1,0.7945879458794588,0.9229813664596275,0.7835671342685371,0.649438202247191,0.08955223880597014,0.8242187500000001
Germany,83e6,348672,27,29.8,0.936,7.074324608,79.6,3980.3,48111,1.5,11.15156851,5357,4.931129932,2369.0431173078778,17,4.3,41.3,44.2,1,1,0.58,1.72,1.78,1.61,1.84,78,75.3,81,74.2,37,14,FALSE,NA,95.7,0.0596810276394602,0.021270497573916684,NA,NA,0.9709897610921503,0.8392465056327397,0.9176300578034683,0.18681829711676676,0.45920213640893653,0.5671641791044776,0.5995845069919195,0.5602904040404041,NA,NA,0.7692307692307693,0.15625,0.4148936170212766,0.7201735357917571,0,0,0.7468671679197995,0.8768844221105528,0.9076086956521738,0.8882978723404256,0.891008174386921,0.7926509186351707,0.7490774907749077,0.7838509316770187,0.7074148296593188,0.7617977528089888,0.09701492537313433,0.84375
Luxembourg,6e5,2586,30.4,13.2,0.904,7.061380863,83.2,59.9,104003,4.5,6.04774196,6382,3.994390011,4762.3266702144,14,5.9,48.5,41.4,1,1,1.34,1.68,1.69,1.74,0.55,77.9,79,82.7,76.4,28.3,15,FALSE,NA,94.1,2.1649707728945658e-4,1.3860541943526411e-4,NA,NA,0.916382252559727,0.8363319899260301,0.9696531791907516,0.0026633973112370002,1,0.7164179104477612,0.24007548249911417,0.6681397306397306,NA,NA,0.5384615384615384,0.21875000000000003,0.4914893617021277,0.6594360086767895,0,0,0.9373433583959899,0.8668341708542714,0.8831521739130435,0.9228723404255319,0.5395095367847411,0.7913385826771655,0.7945879458794588,0.804968944099379,0.7515030060120242,0.5662921348314607,0.1044776119402985,0.7812499999999998
Ireland,47e5,68883,31.3,30,0.938,7.060155392,80.3,324.9,69231,7.8,7.76144215,5335,NA,NA,19,8.1,69.6,31.9,1,1,1.02,1.29,1.59,1.43,1.55,79,79,87.7,80.4,22.2,16,FALSE,NA,91.9,0.00317529046691203,0.004186677442474782,NA,NA,0.9744027303754266,0.8360560532108355,0.9277456647398844,0.015111374162697406,0.663554295555921,0.880597014925373,0.36078700698852595,0.5579755892255892,NA,NA,0.9230769230769231,0.3046875,0.7159574468085106,0.4533622559652928,0,0,0.8571428571428571,0.7688442211055276,0.8559782608695653,0.8404255319148937,0.8119891008174387,0.8057742782152232,0.7945879458794588,0.8670807453416151,0.8316633266533068,0.4292134831460674,0.11194029850746269,0.6953125000000002
United States,326e6,9147593,45,20.7,0.924,6.9917593,76,18569.1,57436,2.4,16.83613019,9536,4.989480019,2729.080813703438,17,4.9,56.5,38.1,2,1,0.3,1.55,1.63,1.64,1.38,76.9,71.9,79.3,75.7,19.4,18,FALSE,NA,95.1,0.23504366024392004,0.5585295882271121,NA,NA,0.9505119453924916,0.8206554497215399,0.8656069364161851,0.872105258213316,0.549428646070188,0.6119402985074627,1,1,NA,NA,0.7692307692307693,0.17968750000000003,0.5765957446808511,0.5878524945770065,0.16666666666666666,0,0.6766917293233081,0.8341708542713568,0.8668478260869564,0.8962765957446809,0.76566757493188,0.778215223097113,0.7072570725707258,0.7627329192546584,0.7374749498997997,0.3662921348314606,0.12686567164179105,0.8203124999999998
Belgium,11e6,30278,25.9,23.7,0.916,6.928347588,77.5,509.5,45047,1.4,10.47712841,4782,6.596849918,3123.738801423508,20,8.3,12.1,54.1,1,1,0.42,1.18,1.24,1.34,1.5,69.5,70.9,81.2,67.5,38,19,FALSE,NA,91.7,0.007721729089990618,0.0018294694172332087,NA,NA,0.9368600682593858,0.8063771685429983,0.8872832369942197,0.02378268181092228,0.42955559210844596,0.5621890547263682,0.5520775433334797,0.4997895622895623,NA,NA,1,0.3125,0.10425531914893618,0.9349240780911063,0,0,0.706766917293233,0.7412060301507538,0.7608695652173912,0.8164893617021278,0.7983651226158037,0.6811023622047245,0.6949569495694958,0.7863354037267082,0.5731462925851704,0.7842696629213483,0.13432835820895522,0.6875000000000001
Czech Republic,11e6,77247,NA,27.3,0.888,6.789567947,71.1,350.7,33232,4.2,7.30822225,2470,NA,NA,17,4,48.6,41.4,1,1,1.02,1.02,1.23,1.12,0.57,57.9,51.1,73,74.2,20,20,FALSE,NA,96,0.007721729089990618,0.004697380406420398,NA,NA,0.8890784982935155,0.7751284500719521,0.7947976878612717,0.016323290399556573,0.31523642732049034,0.7014925373134329,0.32886259840341703,0.25652356902356904,NA,NA,0.7692307692307693,0.14453125000000003,0.4925531914893618,0.6594360086767895,0,0,0.8571428571428571,0.7010050251256281,0.7581521739130435,0.7579787234042554,0.5449591280653951,0.5288713910761156,0.4514145141451415,0.684472049689441,0.7074148296593188,0.37977528089887636,0.1417910447761194,0.8554687499999999
Malta,4e5,316,28.1,29,0.878,6.675665855,68.8,17.3,39834,6.3,9.61684153,3471,7.249639988,1874.152232494997,15,5.3,51,40.4,1,1,1.27,1,1.28,1.14,0.74,62.8,49.9,68.1,68.5,11.9,21,FALSE,NA,94.7,7.216569242981887e-5,0,NA,NA,0.8720136518771332,0.7494813567337354,0.7615606936416186,6.623263154927991e-4,0.3791158285841453,0.8059701492537312,0.491479696995469,0.3618476430976431,NA,NA,0.6153846153846154,0.19531250000000003,0.5180851063829788,0.6377440347071583,0,0,0.9197994987468671,0.6959798994974874,0.7717391304347825,0.7632978723404256,0.5912806539509536,0.5931758530183727,0.43665436654366546,0.6236024844720497,0.593186372745491,0.19775280898876407,0.14925373134328357,0.8046875000000001
France,67e6,549970,29.3,30.4,0.901,6.635222435,73.9,2733.7,42314,1.1,11.0664428,4542,5.51760006,2373.048967229583,16,10,2.7,57,1,2,0.21,1.35,1.16,1.44,1.26,72.7,65.1,84,63.9,39,22,FALSE,NA,90,0.04813451685068918,0.03356168423536153,NA,NA,0.9112627986348124,0.7403747973243024,0.8352601156069366,0.12826113506759487,0.40311172605973816,0.5472636815920398,0.5935883273291608,0.47453703703703703,NA,NA,0.6923076923076923,0.37890625,0.004255319148936174,0.9978308026030368,0,0.16666666666666666,0.6541353383458646,0.7839195979899498,0.7391304347826086,0.8430851063829787,0.7329700272479565,0.7230971128608925,0.6236162361623616,0.8211180124223602,0.5010020040080161,0.8067415730337079,0.15671641791044777,0.62109375
Panama,4e6,74340,50.7,39.5,0.789,6.567658901,54.5,92.9,23024,5.8,7.00916167,1543,NA,NA,13,5.8,84.1,23.1,2,2,0.39,0.01,0.39,0.04,-0.54,29.4,38.8,60.9,67,18.3,23,FALSE,NA,94.2,0.002670130619903298,0.004519879986024666,NA,NA,0.7201365187713312,0.7251616591603626,0.5549132947976879,0.0042135227304754665,0.2164662170661145,0.781094527363184,0.30779703586386475,0.15898569023569023,NA,NA,0.46153846153846156,0.21484375000000003,0.8702127659574468,0.26247288503253796,0.16666666666666666,0.16666666666666666,0.6992481203007519,0.4472361809045226,0.5298913043478262,0.47074468085106386,0.2425068119891008,0.1548556430446194,0.3001230012300123,0.5341614906832298,0.56312625250501,0.3415730337078652,0.16417910447761194,0.7851562500000001
Uzbekistan,32e6,425400,36.8,29.1,0.71,6.421447754,43.1,205.7,6563,8,6.23430295,383,NA,NA,12,8.9,65.5,33.9,7,7,-0.28,-0.56,-1.26,-1.11,-1.16,35.3,24.2,48.7,51.5,16,25,FALSE,NA,91.1,0.02287652450025258,0.02595548287014089,NA,NA,0.5853242320819112,0.6922396041888286,0.39017341040462433,0.009512133254417857,0.05719344757186674,0.8905472636815919,0.25321667349889687,0.036931818181818184,NA,NA,0.38461538461538464,0.3359375,0.672340425531915,0.49674620390455526,1,1,0.531328320802005,0.30402010050251255,0.0815217391304348,0.16489361702127658,0.07356948228882834,0.2322834645669291,0.12054120541205411,0.382608695652174,0.2525050100200401,0.2898876404494382,0.1791044776119403,0.6640624999999998
Mexico,129e6,1943945,48.2,40.7,0.774,6.410299301,49.1,2315.7,18938,2.5,5.86449037,1009,5.325860023,563.5297851284292,13,4,78.1,27,3,3,-0.65,-0.03,0.2,-0.57,-0.93,39,26.9,58.6,64.8,42.6,26,FALSE,NA,96,0.09287724615717688,0.11867731840156079,NA,NA,0.6945392491467578,0.6897293305876403,0.4768786127167631,0.10862621309057431,0.176931040822053,0.6169154228855721,0.22716740270599203,0.10279882154882154,NA,NA,0.46153846153846156,0.14453125000000003,0.8063829787234043,0.3470715835140998,0.3333333333333333,0.3333333333333333,0.43859649122807015,0.4371859296482412,0.47826086956521735,0.3085106382978724,0.13623978201634876,0.2808398950131234,0.15375153751537513,0.5055900621118012,0.5190380761523046,0.8876404494382022,0.1865671641791045,0.8554687499999999
Singapore,6e6,709.2,45.9,NA,0.932,6.378437996,81.8,492.6,87855,2,4.25217534,3681,NA,NA,13,1.8,90.6,17.7,4,4,1.59,2.21,2.12,1.82,2.13,90.9,91.2,98.4,88.8,23,27,FALSE,NA,98.2,0.004113444468499676,2.400865679380875e-5,NA,NA,0.9641638225255974,0.6825551878755609,0.9494219653179191,0.022988829702281974,0.8437557449855347,0.5920398009950248,0.11359735914516844,0.38394360269360267,NA,NA,0.46153846153846156,0.05859375000000001,0.9393617021276596,0.14533622559652926,0.5,0.5,1,1,1,0.9441489361702128,0.9700272479564032,0.9619422572178481,0.9446494464944649,1,1,0.447191011235955,0.19402985074626866,0.94140625
Slovakia,5e6,48105,23.7,28.2,0.855,6.365509033,67.4,170.1,31339,3.6,6.88594228,2062,4.230679989,788.1645102489052,15,10,44.3,43.1,1,1,0.88,0.81,0.82,0.57,0.22,38.8,38.2,68.2,65.3,20,28,FALSE,NA,90,0.0033917875442014867,0.0029179799072210737,NA,NA,0.832764505119454,0.6796440006005516,0.7413294797687863,0.007839876741542422,0.2969202039651285,0.6716417910447761,0.29911757110080406,0.2135942760942761,NA,NA,0.6153846153846154,0.37890625,0.44680851063829785,0.6963123644251626,0,0,0.8220551378446115,0.6482412060301508,0.6467391304347826,0.6117021276595744,0.44959128065395093,0.27821522309711283,0.2927429274292744,0.6248447204968944,0.5290581162324649,0.37977528089887636,0.20149253731343283,0.62109375
El Salvador,6e6,20721,36,35.6,0.674,6.339318275,47.2,54.8,8909,2.4,10.32620701,578,3.448559999,124.00300087465311,13,6.3,86.3,21.3,2,3,-0.25,-0.37,-0.15,-0.86,-0.51,35.4,25.2,37.3,63.2,32.1,30,FALSE,NA,93.7,0.004113444468499676,0.001245922283513905,NA,NA,0.5238907849829353,0.6737466829724904,0.44942196531791917,0.002423832473718328,0.07989279252256873,0.6119402985074627,0.5414467735066545,0.05744949494949495,NA,NA,0.46153846153846156,0.23437500000000003,0.8936170212765957,0.22342733188720174,0.16666666666666666,0.3333333333333333,0.5388471177944861,0.3517587939698492,0.3831521739130435,0.23138297872340427,0.2506811989100817,0.2335958005249344,0.13284132841328414,0.24099378881987576,0.4869739478957917,0.651685393258427,0.21641791044776118,0.7656250000000001
